vul_id,repo,fixed_commit_sha
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23
CVE-2020-25664,ImageMagick/ImageMagick,1f450bb5ba53d275de6d1cd086c98a0b549ad393
CVE-2020-25676,ImageMagick/ImageMagick,406da3af9e09649cda152663c179902edf5ab3ac
CVE-2020-27770,ImageMagick/ImageMagick,be90a5395695f0d19479a5d46b06c678be7f7927
CVE-2021-3962,ImageMagick/ImageMagick,82775af03bbb10a0a1d0e15c0156c75673b4525e
CVE-2021-33193,apache/httpd,ecebcc035ccd8d0e2984fe41420d9e944f456b3c
CVE-2021-22901,curl/curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479
CVE-2021-22946,curl/curl,364f174724ef115c63d5e5dc1d3342c8a43b1cca
CVE-2024-7264,curl/curl,27959ecce75cdb2809c0bdb3286e60e08fadb519
CVE-2024-9681,curl/curl,a94973805df96269bf3f3bf0a20ccb9887313316
CVE-2020-0430,torvalds/linux,58990d1ff3f7896ee341030e9a7c2e4002570683
CVE-2020-10773,torvalds/linux,b8e51a6a9db94bc1fb18ae831b3dab106b5a4b5f
CVE-2020-12352,torvalds/linux,eddb7732119d53400f48a02536a84c509692faa8
CVE-2022-1204,torvalds/linux,9fd75b66b8f68498454d685dc4ba13192ae069b0
CVE-2022-1263,torvalds/linux,5593473a1e6c743764b08e3b6071cb43b5cfa6c4
CVE-2023-0386,torvalds/linux,4f11ada10d0ad3fd53e2bd67806351de63a4f9c3
CVE-2023-28327,torvalds/linux,b3abe42e94900bdd045c472f9c9be620ba5ce553
CVE-2024-26731,torvalds/linux,4cd12c6065dfcdeba10f49949bffcf383b3952d8
CVE-2020-26418,wireshark/wireshark,f4374967bbf9c12746b8ec3cd54dddada9dd353e
CVE-2020-26575,wireshark/wireshark,3ff940652962c099b73ae3233322b8697b0d10ab
CVE-2020-7045,wireshark/wireshark,01f261de41f4dd3233ef578e5c0ffb9c25c7d14d
CVE-2021-39923,wireshark/wireshark,9104a3744e63b54b2cff3152aedeea340976355b
CVE-2021-39928,wireshark/wireshark,0b473c01ab38e3b7debeeb4df82423fe53d0ff54
CVE-2022-0581,wireshark/wireshark,9cd66b270c4b182d806d879850d510b5ee67ba37
CVE-2024-24476,wireshark/wireshark,108217f4bb1afb8b25fc705c2722b3e328b1ad78
